NewCases,CumCases,NewDeaths,CumDeaths,NewRecovered,CumRecovered,ActiveCases,NewTests,CumTests,Date
30204,1245775,2840,75364,3635,216169,954242,291609,8734678,9-May
25870,1271645,1552,76916,16564,232733,961996,266330,9001008,10-May
26642,1298287,1736,78652,2446,230287,989348,382123,9383131,11-May
23767,1322054,982,79634,13143,243430,998990,308555,9691686,12-May
18044,1340098,1061,80695,2984,246414,1012989,319041,10010727,13-May
21424,1361522,1424,82119,4333,250747,1028656,364074,10374801,14-May
20840,1382362,1700,83819,17629,268376,1030167,358323,10733124,15-May
27090,1409452,2041,85860,3889,272265,1051327,362120,11095244,16-May
22813,1432265,1320,87180,10913,283178,1061907,371154,11466398,17-May
31967,1464232,1394,88574,6214,289392,1086266,354713,11821111,18-May
13227,1477459,697,89271,4920,294312,1093876,401339,12222450,19-May
24417,1501876,932,90203,4106,298418,1113255,407159,12629609,20-May
23310,1525186,1324,91527,51717,350135,1083524,461819,13091428,21-May
22787,1547973,1396,92923,11104,361239,1093811,409088,13500516,22-May
20475,1568448,1088,94011,5497,366736,1107701,390000,13890516,23-May
24151,1592599,1852,95863,12421,379157,1117579,381505,14272021,24-May
26158,1618757,1046,96909,5745,384902,1136946,422588,14694609,25-May
15253,1634010,620,97529,6606,391508,1144973,305932,15000541,26-May
24886,1658896,590,98119,8483,399991,1160786,308433,15308974,27-May
16362,1675258,770,98889,6455,406446,1169923,434470,15743444,28-May
19606,1694864,1415,100304,10015,416461,1178099,487229,16230673,29-May
21214,1716078,1263,101567,28297,444758,1169753,425754,16656427,30-May
17962,1734040,1073,102640,13473,458231,1173169,396171,17052598,31-May
23482,1757522,914,103554,5637,463868,1190100,412327,17464925,1-Jun
26116,1783638,693,104247,15390,479258,1200133,418646,17883571,2-Jun
14692,1798330,761,105008,5744,485002,1208320,466714,18350285,3-Jun
24890,1823220,1043,106051,6704,491706,1225463,460984,18811269,4-Jun
14583,1837803,825,106876,9143,500849,1230078,506275,19317544,5-Jun
20069,1857872,1035,107911,5518,506367,1243594,520251,19837795,6-Jun
28922,1886794,1127,109038,12155,518522,1259234,445939,20283734,7-Jun
28918,1915712,708,109746,6333,524855,1281111,395146,20678880,8-Jun
17848,1933560,474,110220,8649,533504,1289836,419724,21098604,9-Jun
17536,1951096,550,110770,6788,540292,1300034,428999,21527603,10-Jun
17235,1968331,1208,111978,7094,547386,1308967,459455,21987058,11-Jun
20315,1988646,832,112810,9220,556606,1319230,623125,22610183,12-Jun
21745,2010391,947,113757,5210,561816,1334818,496428,23106611,13-Jun
22133,2032524,709,114466,14518,576334,1341724,485220,23591831,14-Jun
25314,2057838,646,115112,7169,583503,1359223,432811,24024642,15-Jun
21754,2079592,372,115484,8688,592191,1371917,464529,24489171,16-Jun
18514,2098106,496,115980,6924,599115,1383011,485290,24974461,17-Jun
27921,2126027,722,116702,7600,606715,1402610,516193,25490654,18-Jun
23139,2149166,770,117472,10745,617460,1414234,573992,26064646,19-Jun
23046,2172212,733,118205,4673,622133,1431874,559215,26623861,20-Jun
36617,2208829,690,118895,18065,640198,1449736,511098,27134959,21-Jun
32349,2241178,558,119453,7350,647548,1474177,466605,27601564,22-Jun
27575,2268753,308,119761,8613,656161,1492831,491719,28093283,23-Jun
26519,2295272,410,120171,7401,663562,1511539,519202,28612485,24-Jun
34191,2329463,784,120955,7247,670809,1537699,637148,29249633,25-Jun
37601,2367064,690,121645,8499,679308,1566111,606747,29856380,26-Jun
40526,2407590,2516,124161,5856,685164,1598265,599386,30455766,27-Jun
44458,2452048,650,124811,20039,705203,1622034,583898,31039664,28-Jun
44580,2496628,507,125318,15428,720631,1650679,646824,31686488,29-Jun
41008,2537636,885,126203,9363,729994,1681439,624063,32310551,30-Jun
35757,2573393,370,126573,51976,781970,1664850,633286,32943837,1-Jul
43556,2616949,560,127133,8434,790404,1699412,662316,33606153,2-Jul
54271,2671220,725,127858,103921,894325,1649037,710949,34317102,3-Jul
53213,2724433,623,128481,12438,906763,1689189,642171,34959273,4-Jul
51933,2776366,745,129226,17385,924148,1722992,681450,35640723,5-Jul
57186,2833552,182,129408,12328,936476,1767668,501201,36141924,6-Jul
43686,2877238,235,129643,16986,953462,1794133,634791,36776715,7-Jul
46194,2923432,320,129963,15649,969111,1824358,629102,37405817,8-Jul
50263,2973695,930,130893,14074,983185,1859617,703050,38108867,9-Jul
64630,3038325,991,131884,12391,995576,1910865,810806,38919673,10-Jul
58975,3097300,799,132683,10750,1006326,1958291,698444,39618117,11-Jul
66281,3163581,803,133486,25613,1031939,1998156,758324,40376441,12-Jul
62369,3225950,906,134392,17159,1049098,2042460,693576,41070017,13-Jul
60113,3286063,312,134704,26784,1075882,2075477,769982,41839999,14-Jul
58720,3344783,349,135053,14763,1090645,2119085,761997,42601996,15-Jul
60711,3405494,754,135807,16559,1107204,2162483,827564,43429560,16-Jul
67165,3472659,946,136753,15516,1122720,2213186,837392,44266952,17-Jul
71484,3544143,921,137674,8401,1131121,2275348,761632,45028584,18-Jul
74354,3618497,917,138591,28966,1160087,2319819,798508,45827092,19-Jul
66963,3685460,877,139468,21931,1182018,2363974,711015,46538107,20-Jul
62788,3748248,496,139964,28831,1210849,2397435,750248,47288355,21-Jul
57276,3805524,473,140437,22420,1233269,2431818,795502,48083857,22-Jul
62929,3868453,1042,141479,28355,1261624,2465350,824399,48908256,23-Jul
69641,3938094,1074,142553,17790,1279414,2516127,929838,49838094,24-Jul
71714,4009808,1110,143663,18449,1297863,2568282,797589,50635683,25-Jul
74235,4084043,1135,144798,27941,1325804,2613441,855811,51491494,26-Jul
63968,4148011,929,145727,29559,1355363,2646921,760840,52252334,27-Jul
